Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"27/02/2013","40 Embassy Manor, Kill","","Kildare","€95,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/02/2013","48 Ravenswell, Palmers Road, Rush","","Dublin","€89,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","5 Nenagh Manor Retirement Apts, Yewston, Nenagh","","Tipperary","€77,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","52 Clonard Village, Wexford","","Wexford","€105,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","6 Oakview, Santry, Dublin 9","","Dublin","€166,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","63 Hollybrook Park, Clontarf, Dublin 3","","Dublin","€755,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","66 Woodlawn, Allenwood, Naas","","Kildare","€146,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/02/2013","68 Aidan Park, Shannon","","Clare","€81,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","7 Blainroe Cottages, Blainroe","","Wicklow","€64,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","7 Compton Row, Newbridge Street, Birr","","Offaly","€39,200.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","7 The Brokerage, Townsend Street","Dublin 2","Dublin","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","80 Cluain Craoibh, Kinnegad","","Westmeath","€72,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Ashgrove, Dunmurraghill, Donadea","","Kildare","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Ballymoney, Dunmore","","Galway","€24,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Ballyneety, Dungarvan","","Waterford","€25,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Bremore Pastures Drive, Balbriggan","","Dublin","€657,269.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"27/02/2013","Bridge Villa, South Square, Sneem","","Kerry","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Clonoghill Upper, Birr","","Offaly","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Cloonfinnish, Swinford","","Mayo","€167,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Cloughboley, Ballinfull","","Sligo","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Coolroe Little, Arklow","","Wexford","€350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Corkamore, Skreen","","Sligo","€38,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Deerpark, Virginia","","Cavan","€112,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Dromleigh South, Bantry","","Cork","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Drumhillock, Gurteen, Via Ballymote","","Sligo","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Grove Hill, Garristown","","Dublin","€336,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Lisnamacka, Broomfield, Castleblaney","","Monaghan","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","No. 17, John's Lane, Waterford","","Waterford","€37,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","No: 4 Ellismere Ave., Bundoran","","Donegal","€39,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","PORTLAOISE ROAD, MOUNTRATH","","Laois","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Poulpeasty, Clonroche, Enniscorthy","","Wexford","€81,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"27/02/2013","Quay Road, Westport","","Mayo","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
